update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
40,38720,92.70066784702819,248,-58.947375535964966,25.83146300545088,-81.70508575439453,3.5608081817626953,235.0,0.0,235.0,235.0,8.091965019702911,-24.576041221618652,-1.7427629083395004,52.90913677215576,38.799826057520185,-58.947375535964966,25.83146300545088,-81.70508575439453,3.5608081817626953
41,39744,92.55704447224218,259,-78.89218854904175,57.99504629613278,-229.10775756835938,-40.84386444091797,231.625,8.929410674842993,208.0,235.0,8.445572972297668,-24.84207534790039,3.5699862837791443,369.35587310791016,66.80215311424166,-78.89218854904175,57.99504629613278,-229.10775756835938,-40.84386444091797
42,40768,92.85032957686215,270,-83.24527168273926,55.892672489502196,-229.10775756835938,-40.84386444091797,231.625,8.929410674842993,208.0,235.0,7.669427573680878,-23.66544246673584,1.2795741455629468,47.77557182312012,33.406712818475924,-83.24527168273926,55.892672489502196,-229.10775756835938,-40.84386444091797
43,41792,101.87285710473712,280,-63.47992467880249,9.332430590248672,-77.55278015136719,-44.00001525878906,235.0,0.0,235.0,235.0,8.002065598964691,-24.525787353515625,-2.1538621336221695,83.56293869018555,44.775578628819645,-63.47992467880249,9.332430590248672,-77.55278015136719,-44.00001525878906
44,42816,113.36559968984837,289,-57.77048969268799,13.757228874206113,-76.7587661743164,-37.92525863647461,235.0,0.0,235.0,235.0,8.120853662490845,-23.829469203948975,1.9177662283182144,63.447689056396484,38.762245357014145,-57.77048969268799,13.757228874206113,-76.7587661743164,-37.92525863647461
45,43840,115.29296745929865,298,-53.451722621917725,14.157606413498847,-76.7587661743164,-37.92525863647461,235.0,0.0,235.0,235.0,7.669536232948303,-22.997409343719482,-4.160213828086853,66.71431159973145,27.625725481875527,-53.451722621917725,14.157606413498847,-76.7587661743164,-37.92525863647461
46,44864,109.75559341250856,307,-54.07081651687622,14.507168975616086,-73.31047058105469,-28.718048095703125,235.0,0.0,235.0,235.0,7.613039493560791,-23.727171897888184,-1.009050689637661,57.90635681152344,54.2544302902271,-54.07081651687622,14.507168975616086,-73.31047058105469,-28.718048095703125
47,45888,119.57945398296998,316,-62.05425214767456,14.428645379440061,-81.53910827636719,-28.718048095703125,235.0,0.0,235.0,235.0,7.4880335330963135,-24.131470680236816,-8.236861884593964,121.10624694824219,90.24755825832014,-62.05425214767456,14.428645379440061,-81.53910827636719,-28.718048095703125
48,46912,118.93571183676325,324,-69.13243567943573,41.54277192185564,-160.3248748779297,-15.428521156311035,232.5,6.614378277661476,215.0,235.0,7.90336948633194,-24.25058889389038,3.5647206977009773,323.20434188842773,41.95953369299751,-69.13243567943573,41.54277192185564,-160.3248748779297,-15.428521156311035
49,47936,108.54674230170279,334,-122.51560163497925,142.17926966594527,-435.0119323730469,-22.571500778198242,206.5,56.02677931132576,68.0,235.0,8.218562602996826,-26.4840669631958,19.023108959197998,1950.5750122070312,172.11044217470973,-122.51560163497925,142.17926966594527,-435.0119323730469,-22.571500778198242
50,48960,114.93330876408876,343,-126.90869212150574,140.29097341340128,-435.0119323730469,-19.566329956054688,206.5,56.02677931132576,68.0,235.0,7.435172617435455,-24.179864406585693,0.4647499565035105,53.941925048828125,21.526754023113146,-126.90869212150574,140.29097341340128,-435.0119323730469,-19.566329956054688
